 ID,Crop,Pest or Disease name,Diesease Photo,Causing Agent,Favorable Climate,Symptoms,Management,Crop Science view,Created,Updated
36,RICE, Rice Leaf Folder,"{'url':'bea33b7135a4b1521beee7a327c4d7625b81e24f8469da88a1de248fc0ddff37.jpg','size':78956,'width':491,'height':556,'filename':'Screenshot 2025-04-18 195552.jpg','metadata':{'width':491,'height':556,'blurHash':'eVK1j;NG%h%Lt7xuWBofofae?wxtMxWXV@i_a}WBWBozV@WVWXaej[','blurHashWidth':32}}",Cnaphalocrocis medinalis,"1) Temperature: Optimal development occurs between 25°C and 30°C.
2) Humidity: High relative humidity levels favor the survival and reproduction of the pest.
3) Crop Growth Stage: Young, tender rice plants, especially during the tillering stage, are more susceptible.​","1) Leaf Folding: Larvae fold leaves longitudinally and bind them with silk threads, creating a protective shelter.          
2) Feeding Damage: Inside the folded leaves, larvae feed on the green tissue, resulting in white, transparent streaks.
3) Scorched Appearance: Severe infestations can cause extensive leaf damage, giving the field a scorched appearance.","1) Cultural Practices:                                                                    
 
a) Avoid excessive nitrogen fertilization, which can promote pest outbreaks.
b) Maintain proper plant spacing to reduce humidity within the canopy.
c) Remove and destroy infested leaves to reduce larval populations.​

2) Biological Control:

a) Encourage natural predators such as spiders and parasitoids like Trichogramma spp.
b) Utilize biopesticides like Bacillus thuringiensis (Bt) formulations.​

3) Mechanical Control:

a) Install light traps to monitor and reduce adult moth populations.
b) Use pheromone traps to disrupt mating cycles.​

4) Chemical Control:

a) Apply insecticides judiciously, targeting early larval stages.
b) Rotate chemicals with different modes of action to prevent resistance development.​

5) Resistant Varieties:

a) Cultivate rice varieties that have shown resistance or tolerance to leaf folder infestation.",RICE,2025-04-18T14:20:11.314Z,2025-04-18T14:48:16.402Z
35,RICE,Yellow Stem Borer (YSB),"{'url':'e5e93d791188317cee0bdee483c818cc6b4fefc01e42db8784262f2f266765b8.jpg','size':141131,'width':638,'height':700,'filename':'80106286.jpg','metadata':{'width':638,'height':700,'blurHash':'ePBXPjof4WX5?akCWCjGkBofI.fi$+ofI.odj[WCj[oet7j[Rjayof','blurHashWidth':32}}",Scirpophaga incertulas,"1) Temperature: Optimal development occurs between 25°C and 30°C.
2) Humidity: High relative humidity levels favor the survival and reproduction of the pest.
3) Rainfall: Areas with substantial rainfall, especially during the monsoon season, are more susceptible to YSB outbreaks.","1) Deadhearts: During the vegetative stage, infested tillers exhibit yellowing and wilting of central leaves, which can be easily pulled out.
2) Whiteheads: At the reproductive stage, panicles emerge but remain unfilled and whitish due to larval feeding within the stem.
3) Stem Damage: Presence of small holes on stems and frass (insect excreta) inside the stem cavities","1) Cultural Practices:

a) Adjust planting dates to avoid peak periods of moth activity.
b) Remove and destroy stubble and crop residues after harvest to eliminate overwintering larvae.
c) Maintain proper plant spacing and avoid excessive nitrogen fertilization, which can make plants more attractive to pests.​

2) Mechanical Control:

a) Use light traps to monitor and reduce adult moth populations.
b) Install pheromone traps to attract and capture male moths, disrupting the mating cycle.​

3) Biological Control:

a) Encourage natural enemies such as parasitoids (Trichogramma spp.) and predators (spiders, beetles) that feed on YSB eggs and larvae.​

4) Chemical Control:

a) Apply recommended insecticides judiciously, targeting the early larval stages.
b) Rotate chemicals with different modes of action to prevent resistance development.​

5) Resistant Varieties:

a) Cultivate rice varieties that have shown resistance or tolerance to YSB infestation.​

",RICE,2025-04-18T14:16:40.518Z,2025-04-18T14:17:08.787Z
34,RICE,Whitebacked Planthopper (WBPH),"{'url':'e7e5500b525d5c9e4cdeecb420af2ef073f4e9a15c1f5262eacb6bc1cca7da48.jpg','size':88225,'width':589,'height':392,'filename':'sogfurc1.jpg','metadata':{'width':589,'height':392,'blurHash':'eC9J6#t*0cow%M*FXNRjxboz7mXN=PogM{YLw5rLIURP$Tm;MeM{j]','blurHashWidth':32}}",Sogatella furcifera,"1) Temperature: Optimal development occurs between 25°C and 30°C. ​
2) Humidity: Relative humidity levels of 70% to 80% are conducive to WBPH proliferation. ​
3) Rainfall: High rainfall areas, especially during the monsoon season, support WBPH outbreaks.","1) Hopperburn: High WBPH populations cause leaves to turn orange-yellow, wilt, dry out, and eventually die in patches—a condition known as hopperburn. ​
2) Stunted Growth: Infested plants exhibit reduced tillering and panicle development, leading to decreased plant height and grain yield. ​
3) Sooty Mould: Feeding injuries can facilitate the growth of sooty moulds on stems, affecting photosynthesis.                            4) Virus Transmitted such as : a) Southern Rice Black-Streaked Dwarf Virus (SRBSDV): Causes stunted growth and dark green leaves with white waxy patches. ​
b) Rice Ragged Stunt Virus (RRSV): Leads to ragged and twisted leaves, stunted growth, and malformed panicles. ","1) Cultural Practices:
a) Avoid excessive nitrogen fertilization, which can promote WBPH outbreaks.
b) Implement synchronous planting and maintain proper plant spacing to reduce habitat suitability.
c) Remove weeds and volunteer rice plants that can serve as alternative hosts.​

2) Biological Control:

a) Encourage natural predators like spiders, mirid bugs, and parasitoids to control WBPH populations.​

3) Chemical Control:

a) Use insecticides judiciously, following recommended guidelines to prevent resistance development.
b) Monitor WBPH populations regularly to determine the necessity and timing of chemical applications.​

4) Resistant Varieties:
a) Cultivate rice varieties that are resistant or tolerant to WBPH to minimize damage.​",RICE,2025-04-18T14:06:49.471Z,2025-04-18T14:06:49.471Z
33,RICE,Brown Plant Hopper (BPH),"{'url':'994bd6d7499f0bd7cc534db43b07f0c86fd9cb7c423ad2db83021a16c3545a56.jpg','size':114244,'width':600,'height':802,'filename':'brown-planthopper-rice-1573637247.jpg','metadata':{'width':600,'height':802,'blurHash':'eHG8[c$j*GSwE{~pVtR%RkWCIqM{V]RjspjcM|RkRjRRtQt6s:t6e=','blurHashWidth':32}}","Nilaparvata lugens
","1) Temperature: Optimal development occurs between 25°C and 31°C.
2) Humidity: Relative humidity levels of 60% to 80% are conducive to BPH proliferation. ​
3) Climate Change Impact: Elevated CO₂ levels and temperatures have been shown to enhance BPH multiplication, increasing their population density.","1) Hopperburn: High populations cause leaves to turn orange-yellow, then brown and dry, leading to plant death—a condition known as hopperburn. ​
2) Stunted Growth: Infested plants exhibit reduced tillering and panicle development, leading to decreased plant height and grain yield.
3) Sooty Mould: Feeding and egg-laying injuries allow entry of fungi and bacteria, resulting in blackening of stems by sooty moulds.                                                                                    4) Virus Transmitted from BPH such as :                                           
a) Rice Ragged Stunt Virus (RRSV)
b) Rice Grassy Stunt Virus (RGSV)
","1) Cultural Practices:

a) Avoid excessive nitrogen fertilization, which can promote BPH outbreaks.
b) Implement synchronous planting and maintain proper plant spacing to reduce habitat suitability.​

2) Biological Control:

a) Encourage natural predators like spiders, mirid bugs, and parasitoids to control BPH populations.​

3) Chemical Control:

a) Use insecticides judiciously, following recommended guidelines to prevent resistance development.
b) Monitor BPH populations regularly to determine the necessity and timing of chemical applications.​

4) Resistant Varieties:
a) Cultivate rice varieties that are resistant or tolerant to BPH to minimize damage.",RICE,2025-04-18T13:54:25.358Z,2025-04-18T14:09:03.820Z
32,ONION,BACTERIAL BULB ROT,"{'url':'ba903dcac0ab749d0b0244fcecf5f575621db53b36092c03dff52854a53cdf23.jpeg','size':7953,'width':250,'height':200,'filename':'bacterial bulb rot.jpeg','metadata':{'width':250,'height':200,'blurHash':'eEJa$Y_Nxv?HTg.A.8RPof?uA1x]-pbc%Ki]%M%M%L9FIBR+xuofWC','blurHashWidth':32}}",Pseudomonas aeruginosa and Burkholderia cepacia.,"Warm and moist conditions. High humidity and excessive moisture around the bulbs,","1) Softening: Infected bulbs develop soft, water-soaked lesions that progress into decay, causing the affected areas to become slimy or mushy.
2) Odor: The rotting bulbs emit a foul odor, distinguishing them from healthy onions.
3) Spread: Bacterial Bulb Rot can spread rapidly, causing adjacent bulbs to also become infected and decay.","1) Sanitation: Ensure cleanliness in storage areas and equipment used for handling and storing onions to minimize the chances of contamination.
2) Proper Storage: Store onions in dry and well-ventilated conditions to reduce moisture accumulation and prevent bacterial growth.
3) Sorting: Regularly inspect stored onions and promptly remove any infected or damaged bulbs to prevent the spread of the disease.
4) Treatment: There are limited chemical treatments available for bacterial diseases in stored onions. Maintaining proper storage conditions is often the primary method of management.
5) Avoiding Injuries: Handle onions carefully to prevent bruises or injuries that could provide entry points for bacterial pathogens.",ONION,2025-04-09T03:47:49.017Z,2025-04-11T12:33:03.413Z
31,ONION,FUSARIUM WILT,"{'url':'e696f1c4b4025b4408edc31aad9c2cb1699ec16b30e798c8c93dda6431ea1dff.png','size':2065473,'width':1024,'height':1024,'filename':'ChatGPT Image Apr 11, 2025, 06_13_35 PM.png','metadata':{'width':1024,'height':1024,'blurHash':'e6Enzy^$Eg$jE3^gadb[s:S20$nPIqRkt6?Y%1WCWCIp9ws.-nX7$%','blurHashWidth':32}}", Fusarium oxysporum f. sp. cepae., Spreads more rapidly in soils with temperatures ranging between 24°C to 29°C (75°F to 85°F).,"1) Wilting: Leaves show gradual wilting, starting with the older leaves and progressing upwards, even during adequate soil moisture conditions.
2) Yellowing: Foliage turns yellow or exhibits chlorosis, primarily visible between the veins of the leaves.
3) Stunting: Infected plants may display stunted growth and reduced vigor compared to healthy plants.
4) Vascular Discoloration: Cutting the affected stems might reveal brown or reddish discoloration in the vascular tissue.","1) Crop Rotation: Avoid planting onions or related crops in the same area consecutively to minimize the buildup of Fusarium in the soil.
2) Soil Improvement: Enhance soil health through proper drainage and organic matter to reduce disease pressure.
3) Sanitation: Remove and destroy infected plant material and debris to minimize fungal survival and spread.
4) Resistant Varieties: Opt for onion varieties that exhibit resistance or tolerance to Fusarium Wilt.
5) Treatment of Planting Material: Treat onion sets or seeds with appropriate fungicides or bactericides before planting to reduce the risk of infection.
6) Soil Solarization: In some cases, solarizing the soil by covering it with transparent plastic to trap heat can help reduce soilborne pathogens like Fusarium.
7) Fungicidal Treatments: Application of fungicides targeting Fusarium species might be considered, especially during planting or at the early growth stages.",ONION,2025-04-09T03:47:49.016Z,2025-04-11T12:44:13.169Z
30,ONION,FUSARIUM BASAL ROT,"{'url':'32a4f9add86d37045bf5d924e9463905de7058997ddcc722cfa302aa534f549e.jpeg','size':76564,'width':600,'height':400,'filename':'Fusarium basal rot.jpeg','metadata':{'width':600,'height':400,'blurHash':'eEC~^.?HI:enRQ,G$%oLt7%L0f%2=|-;xZEgR+-V#,tQs:NGjFs:oz','blurHashWidth':32}}",Fusarium oxysporum f. sp. cepae, Spreads more rapidly in soils with temperatures ranging between 24°C to 29°C (75°F to 85°F).,"1) Initial Signs: Yellowing and wilting of foliage, usually starting from the tips of the leaves.
2) Basal Plate and Root Damage: Infected plants show a reddish discoloration and rot at the base, affecting the basal plate and roots.
3) Progression: As the disease advances, affected plants may show stunted growth, and the foliage becomes increasingly yellow and wilted.
4) Bulb Impact: Fusarium Basal Rot can cause significant damage to the bulbs, resulting in reduced bulb size and quality.","1) Crop Rotation: Avoid planting onions or related crops in the same area consecutively to reduce the buildup of Fusarium in the soil.
2) Soil Sanitation: Ensure proper sanitation by removing and destroying infected plant material and debris to minimize fungal survival.
3) Good Drainage: Improve field drainage to prevent waterlogging, which creates conditions favorable for Fusarium growth.
4) Resistant Varieties: Plant onion varieties that exhibit resistance or tolerance to Fusarium Basal Rot.
5) Treatment of Planting Material: Treat onion sets or seeds with appropriate fungicides or bactericides before planting to reduce the risk of infection.
6) Fungicidal Treatments: Application of fungicides targeting Fusarium species might be considered, especially during planting or at the early growth stages.
7) Soil Amendments: Some growers use soil amendments or biological control agents to manage Fusarium in the soil.",ONION,2025-04-09T03:47:49.014Z,2025-04-11T12:33:48.156Z
29,ONION,NECK ROT,"{'url':'a1982a16833a2caaf5820d39e46ca8d265231d7a8418b61bb609a23b79df4b78.jpeg','size':5935,'width':300,'height':168,'filename':'neck rot.jpeg','metadata':{'width':300,'height':168,'blurHash':'etH-uhxat6xt9G0LWBWBRj%Lo#j[j[kCe-%1oeoeWVa#IoayayWCkB','blurHashWidth':32}}","Botrytis allii, Fusarium species (such as Fusarium oxysporum and Fusarium proliferatum), and sometimes bacterial pathogens like Pseudomonas aeruginosa.",Warm and humid conditions. Excessive moisture during storage or high humidity levels after harvest create favorable environments for fungal growth and the onset of this disease.,"1) Initial Signs: Soft, watery lesions or spots develop on the neck or upper part of the onion bulbs.
2) Progression: These lesions progress to become moldy, soft, and sometimes sunken. They may also emit a foul odor.
3) Storage Impact: Infected onions can decay rapidly during storage, leading to losses due to spoilage.","Pre-Harvest Practices:
1) Proper Harvesting: Harvest onions when they reach maturity and cure them properly before storage.
2) Adequate Drying: Allow the onions to dry thoroughly after harvest to reduce moisture content before storage.
3) Avoiding Injuries: Handle onions carefully to avoid injuries or bruises that could provide entry points for pathogens.
Post-Harvest Handling:
1) Drying and Curing: Ensure onions are well-dried and cured before storage in a well-ventilated, dry area.
2) Storage Conditions: Store onions in cool, dry conditions with good airflow to prevent moisture buildup.
3) Sorting: Regularly inspect stored onions and remove any infected or damaged bulbs to prevent the spread of the disease.
4) Sanitation: Maintain cleanliness in storage areas and equipment used for handling and storing onions to minimize the chances of contamination.
5) Fungicides and Bactericides: Application of appropriate fungicides or bactericides during storage might be effective in preventing the spread of the disease.",ONION,2025-04-09T03:47:49.013Z,2025-04-11T12:34:03.717Z
28,ONION,BOTRYTIS LEAF BLIGHT,"{'url':'78ae07ef375c1cf344540a87b2273ebd0b038ecb6448e9e26c3b5109df7e4b01.jpeg','size':9617,'width':184,'height':274,'filename':'botrytis leaf blight.jpeg','metadata':{'width':184,'height':274,'blurHash':'eU9I;Mt7xZt7az.lt8s:oyof%Mxbofj]oLx]t7j]oMazxvt7oMoLof','blurHashWidth':32}}",Botrytis squamosa,"Cool, humid, and wet conditions. Temperatures between 15°C to 25°C  (59°F to 77°F) with high humidity.","1) Initial Signs: Water-soaked lesions appear on the leaves, which quickly progress to grayish-white, fluffy, or fuzzy patches.
2) Progression: These patches spread across the leaf surface and may cover the entire leaf. Lesions may have a brownish margin and can cause leaf distortion and necrosis.
3) Leaf Damage: Severe infections can lead to extensive defoliation, weakening the plant and affecting bulb development.
4) Bulb Impact: While the primary impact is on foliage, in severe cases, the disease can also affect bulb quality.","1) Proper Air Circulation: Ensure adequate spacing between onion plants to allow good airflow and reduce humidity around the foliage.
2) Avoid Overhead Irrigation: Use irrigation methods that avoid wetting the foliage to minimize moisture on leaves.
3) Remove Infected Plant Debris: Promptly remove and destroy any infected plant material to prevent the spread of the disease.
4) Fungicides: Application of fungicides specifically targeting Botrytis species can help manage and control Botrytis Leaf Blight.
5) Resistant Varieties: Utilize onion varieties known to exhibit resistance or tolerance to Botrytis Leaf Blight.
6) Sanitation: Maintain field hygiene by keeping the field free of weeds and debris that could harbor the fungus.
7) Early Detection: Regularly monitor plants for symptoms and take immediate action upon detecting signs of the disease to prevent its spread.
",ONION,2025-04-09T03:47:49.011Z,2025-04-11T12:34:18.861Z
27,ONION,PURPLE BLOTCH,"{'url':'0e7bbb2a9350103a51c00973823e4a6e3c74699523ac8b40c6222381b71ca3ec.jpeg','size':9529,'width':248,'height':203,'filename':'PURPLE BLOTCH.jpeg','metadata':{'width':248,'height':203,'blurHash':'eRECdcIC$*i{0Nr?oyt6jJR+NaafR+RkV[tQRQR*bGRkWBofWBf8WB','blurHashWidth':32}}",Alternaria porri, Warm and humid conditions. Temperatures ranging between 25°C to 30°C (77°F to 86°F) with high humidity.,"
1) Initial Signs: Small water-soaked lesions with a purplish hue appear on the leaves, often starting from the tips or edges.
2) Progression: These lesions enlarge and develop into distinct purplish-brown spots or blotches with concentric rings. The center of the spots might become sunken.
3) Leaf Damage: Severe infections can cause leaves to wither, die, or even collapse.
4) Bulb Impact: While the disease primarily affects leaves, if the infection is severe, it can impact bulb development and reduce bulb quality.","1) Crop Rotation: Avoid planting onions or related crops in the same location repeatedly.
2) Good Air Circulation: Adequate spacing between plants to ensure proper airflow can help reduce humidity around the foliage.
3) Remove Infected Plant Debris: Promptly remove and destroy infected plant material to prevent the spread of the disease.
4) Fungicides: Application of fungicides specifically targeting Alternaria species can help manage and control Purple Blotch.
5) Resistant Varieties: Utilize onion varieties that are known to exhibit resistance or tolerance to Purple Blotch.
6) Sanitation: Practicing good field hygiene and ensuring cleanliness in equipment and tools used in onion cultivation can minimize the chances of infection.
7) Proper Watering: Avoid overhead irrigation to prevent prolonged leaf wetness, which can create conditions conducive to fungal growth.",ONION,2025-04-09T03:47:49.009Z,2025-04-11T12:34:33.647Z
